frames,time,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95
10,5.0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3
11,5.5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3
12,6.0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,5,3,3,3
13,6.5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,5,3,3,3
14,7.0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,5,3,3,3
15,7.5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,5,3,3,3
16,8.0,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,5,3,3,3
17,8.5,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,5,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,5,3,3,3
18,9.0,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,5,3,3,3
19,9.5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,5,3,3,3
20,10.0,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,5,3,4,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,5,4,4,3,4,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,5,3,3,3
21,10.5,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,4,3,3,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,5,3,4,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,5,4,4,3,4,4,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,4,3,3,3,5,3,3,3
22,11.0,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,5,3,4,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,5,4,4,3,5,4,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,4,3,3,3,5,3,3,3
23,11.5,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,5,3,4,3,3,4,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,6,4,4,3,5,4,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
24,12.0,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,5,3,4,3,3,4,3,3,5,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,6,4,4,3,5,4,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
25,12.5,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,5,3,4,3,3,4,3,3,4,3,3,3,5,3,3,4,3,3,3,3,3,3,3,3,3,6,4,4,3,5,4,3,3,3,3,3,3,4,5,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3
26,13.0,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,5,3,4,3,3,4,3,3,4,3,3,3,5,3,3,4,3,3,3,3,3,3,3,3,3,6,4,4,3,5,4,3,3,3,3,3,3,4,5,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3
27,13.5,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,5,3,4,3,3,4,3,4,4,3,3,3,5,3,3,4,3,3,3,3,3,3,3,3,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3
28,14.0,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,5,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,5,3,4,3,3,4,3,3,4,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,3,3,3,4,3,4,3
29,14.5,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,5,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,5,3,4,3,3,4,3,3,4,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,3,3,3,4,3,4,3
30,15.0,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,3,3,4,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,3,3,3,4,3,4,3
31,15.5,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,5,4,3,4,3,4,3,5,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,4,3,4,3,3,3,5,3,3,5,3,3,3,3,3,3,3,4,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,3,3,3,4,3,4,3
32,16.0,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,5,4,3,4,3,4,3,5,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,4,3,4,3,3,3,5,3,3,5,3,3,3,3,3,3,3,4,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,3,3,3,4,3,4,3
33,16.5,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,5,4,3,4,3,4,3,5,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,4,3,4,3,3,3,5,3,3,5,3,3,3,3,3,3,3,4,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,3,3,3,4,3,4,3
34,17.0,3,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,5,4,3,4,3,4,3,5,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,4,3,4,3,3,3,5,3,3,4,3,3,3,3,3,3,3,4,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,4,4,3,3,3,4,3,3,3,4,3,4,3
35,17.5,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,5,4,3,4,3,4,3,5,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,4,3,4,3,4,3,4,3,3,4,3,3,3,3,3,3,3,4,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,4,4,3,3,3,4,3,3,3,4,3,4,3
36,18.0,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,4,3,4,3,4,3,5,4,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,4,3,4,3,4,3,4,3,3,4,3,3,3,3,3,3,3,4,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,4,3,3,3,4,3,4,3
37,18.5,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,4,3,4,3,4,3,5,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,4,3,4,3,4,3,4,3,3,4,3,3,3,3,3,3,3,4,3,6,4,4,3,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
38,19.0,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,4,3,4,3,4,3,5,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,4,3,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
39,19.5,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,4,3,4,3,4,3,5,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,5,3,4,3,3,4,4,3,4,3,4,3,3,3,3,4,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
40,20.0,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,5,3,4,3,4,3,5,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,5,3,3,3,3,4,4,3,4,3,4,3,3,3,3,4,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
41,20.5,3,3,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,5,3,3,3,4,3,5,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,5,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
42,21.0,3,4,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,5,3,3,3,4,3,5,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,5,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
43,21.5,3,4,3,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,5,3,3,3,5,3,5,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,5,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
44,22.0,3,4,3,4,4,4,4,3,3,5,4,3,3,3,3,3,3,3,4,5,3,3,3,5,3,5,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,5,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,5,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
45,22.5,3,4,3,4,4,4,4,3,3,5,4,3,3,3,3,3,3,3,5,5,3,3,3,5,3,5,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,6,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,5,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
46,23.0,3,4,3,4,4,4,4,3,3,5,4,3,3,3,3,3,3,3,5,5,3,3,3,5,3,5,4,3,3,3,3,4,3,3,4,4,3,3,4,3,3,4,6,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,5,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
47,23.5,3,4,3,4,4,4,4,3,3,5,4,3,3,3,3,3,3,3,5,5,3,3,3,5,3,5,4,3,3,3,3,4,3,3,4,4,3,3,4,3,3,4,6,3,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,5,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
48,24.0,3,4,3,4,4,3,4,3,3,5,4,3,3,3,3,3,4,3,5,5,3,3,3,5,3,5,4,3,3,3,3,4,3,3,4,4,3,3,4,3,3,4,6,3,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
49,24.5,3,4,3,4,4,3,4,3,3,5,4,3,3,3,3,3,4,3,5,5,3,3,3,4,3,5,4,3,3,3,3,4,3,3,4,4,3,3,4,3,3,4,6,3,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
50,25.0,3,4,3,4,4,3,4,3,3,5,4,3,3,3,3,3,4,3,5,5,3,3,3,4,3,5,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
51,25.5,3,4,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,4,4,3,5,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
52,26.0,3,4,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,4,4,3,6,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
53,26.5,3,4,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,4,4,3,6,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
54,27.0,3,4,3,4,4,3,4,3,3,5,4,3,3,3,5,3,4,3,5,5,3,3,4,4,3,6,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
55,27.5,3,4,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,4,4,3,6,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
56,28.0,3,4,3,4,4,3,4,3,3,5,4,3,3,3,4,4,4,3,5,5,3,3,3,4,3,6,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
57,28.5,3,5,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,3,4,3,6,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,6,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
58,29.0,3,5,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,3,4,3,5,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,3,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,7,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
59,29.5,3,5,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,3,4,3,5,4,3,3,3,3,4,4,3,4,4,3,3,4,3,3,4,5,3,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,7,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3
60,30.0,3,5,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,3,4,3,5,4,3,3,3,3,4,4,3,3,4,3,3,4,3,3,4,5,3,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,4,3,7,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4
61,30.5,3,5,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,3,4,3,5,4,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,5,3,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,4,3,7,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4
62,31.0,3,5,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,3,4,3,5,4,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,4,3,7,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4
63,31.5,3,5,3,4,4,3,4,3,3,5,4,3,3,3,4,3,4,3,5,5,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,5,4,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,4,3,7,4,4,4,5,4,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4
